"Group","Indicator","Units","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Hotel-only visitors","LOS on Hawaii Island","days","5.2","5.0","5.1","5.1","5.3","5.1","5.2","5.2","5.0","5.1","5.1","5.1","5.1","5.1","5.1","5.3","5.5","5.6","5.5","5.6","5.6","6.3","7.1","6.4","6.3","6.1"
"First-time visitors","LOS on Hawaii Island","days","5.1","4.9","5.6","5.2","5.2","5.2","5.3","5.0","4.7","5.3","5.2","5.3","5.5","5.5","5.7","5.8","5.8","5.9","5.8","6.1","6.0","","8.0","6.9","6.4","6.2"
"Honeymoon visitors","LOS on Hawaii Island","days","4.5","4.5","","","","4.5","4.3","4.4","4.1","4.6","4.2","4.4","4.4","4.4","4.6","5.0","5.2","5.0","4.9","5.2","5.3","6.2","7.2","6.5","5.8","6.2"
"All visitors by air","LOS in Hilo","days","4.2","4.0","4.0","3.8","3.8","3.6","3.5","3.2","3.1","3.6","3.7","3.8","3.9","3.9","4.1","4.1","4.1","4.2","4.1","4.2","3.9","6.3","6.0","5.0","4.4","4.3"
"Hotel-only visitors","LOS in Hilo","days","3.4","3.1","3.2","2.9","2.8","2.8","2.7","2.7","2.5","2.6","2.6","2.6","2.8","2.5","2.6","2.8","2.9","3.0","3.2","3.2","3.0","3.8","4.4","3.9","3.5","3.4"
"First-time visitors","LOS in Hilo","days","3.3","3.1","3.1","3.0","3.0","2.8","2.8","2.6","2.4","2.8","2.8","2.9","2.9","3.0","3.2","3.2","3.2","3.3","3.3","3.4","3.2","","5.4","4.3","3.5","3.3"
"Honeymoon visitors","LOS in Hilo","days","2.9","2.8","","","","2.3","2.1","2.1","2.0","2.4","2.0","2.3","2.2","2.3","2.5","2.8","2.8","2.7","2.8","2.9","2.9","3.7","4.1","4.6","3.2","3.4"
"All visitors by air","LOS in Kona","days","5.9","5.9","6.0","6.2","6.4","6.3","6.2","6.0","5.9","6.6","6.7","6.8","7.0","7.1","7.1","7.2","7.1","7.0","6.8","6.9","6.8","9.3","8.6","7.7","7.3","7.2"
"Hotel-only visitors","LOS in Kona","days","5.1","4.8","4.8","5.0","5.3","5.1","5.3","5.3","5.3","5.4","5.4","5.4","5.2","5.4","5.4","5.5","5.6","5.6","5.4","5.4","5.5","6.1","6.8","6.2","6.1","6.0"
"First-time visitors","LOS in Kona","days","4.6","4.5","5.0","4.8","5.1","4.8","4.8","4.5","4.2","4.9","4.9","5.0","5.2","5.2","5.3","5.3","5.3","5.3","5.1","5.3","5.2","","7.3","6.2","5.7","5.6"
"Honeymoon visitors","LOS in Kona","days","5.2","4.3","","","","4.3","4.2","4.3","4.0","4.5","4.4","4.5","4.5","4.4","4.5","4.8","4.9","4.7","4.5","4.6","4.8","5.6","6.6","5.6","5.3","5.7"

"Data is updated monthly by the Research & Economic Analysis Division, State of Hawaii Department of Business, Economic Development and Tourism (DBEDT)"
"Source of Data: Hawaii Tourism Authority"
"Seasonally adjusted series are from DBEDT"
"Hotel performance data prior to March 2017 are from Hospitality Advisors, LLC."
